cluster,size
68,610
13,366
40,318
51,308
41,305
61,303
58,258
45,230
87,221
95,201
47,199
0,199
18,191
22,190
5,177
91,173
83,169
60,163
78,157
80,153
35,141
57,136
16,131
54,130
86,129
9,125
8,124
28,120
67,116
27,114
84,112
29,101
62,100
89,99
76,99
59,96
12,86
10,79
55,77
11,76
52,70
65,68
20,64
46,63
2,59
26,58
70,57
63,57
19,56
24,55
74,54
31,54
4,52
92,46
49,43
23,43
81,43
85,42
25,41
77,40
64,38
38,38
93,38
42,37
96,36
34,35
90,34
36,34
71,33
17,33
53,32
30,31
3,30
21,30
33,30
69,29
1,29
75,27
94,26
66,25
14,25
56,25
72,25
82,24
79,24
32,24
43,24
44,24
50,24
39,23
6,23
48,23
37,22
73,21
88,20
15,20
7,20
